"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ip-172-31-43-159.ap-northeast-2.compute.internal",,,,"User:","ec2-user"
"Cmdline:","dstat --integer --noupdate -T -n --tcp --cpu --mem --output /home/ec2-user/stats.csv 1",,,,"Date:","16 Dec 2020 09:00:37 UTC"

"epoch","net/total",,"tcp sockets",,,,,"total cpu usage",,,,,,"memory usage",,,
"epoch","recv","send","lis","act","syn","tim","clo","usr","sys","idl","wai","hiq","siq","used","buff","cach","free"
1608109237.488,0.0,0.0,7.0,7.0,10.0,0.0,0.0,1.340,0.607,97.861,0.182,0.0,0.010,167485440.0,1085440.0,786063360.0,76873728.0
1608109238.489,22736.0,9560.0,7.0,17.0,1.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,167686144.0,1085440.0,786087936.0,76648448.0
1608109239.489,32273.0,3177.0,7.0,17.0,1.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,167809024.0,1085440.0,786092032.0,76521472.0
1608109240.489,276.0,198.0,7.0,17.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,167809024.0,1085440.0,786092032.0,76521472.0
1608109241.489,22668.0,2690.0,7.0,17.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,167936000.0,1085440.0,786092032.0,76394496.0
1608109242.489,27068.0,1229.0,7.0,17.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,167931904.0,1085440.0,786096128.0,76394496.0
1608109243.489,0.0,0.0,7.0,17.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,167931904.0,1085440.0,786096128.0,76394496.0
1608109244.489,60.0,74.0,7.0,17.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,167931904.0,1085440.0,786096128.0,76394496.0
1608109245.489,224.0,198.0,7.0,17.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,167931904.0,1085440.0,786096128.0,76394496.0
1608109246.489,0.0,0.0,7.0,17.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,167931904.0,1085440.0,786096128.0,76394496.0
1608109247.489,0.0,592.0,7.0,17.0,8.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,167931904.0,1085440.0,786096128.0,76394496.0
1608109248.489,7420.0,5576.0,7.0,23.0,0.0,0.0,0.0,0.990,0.0,99.010,0.0,0.0,0.0,167923712.0,1085440.0,786104320.0,76394496.0
