"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ip-172-31-8-40.sa-east-1.compute.internal",,,,"User:","root"
"Cmdline:","dstat --integer --noupdate -T -n --tcp --cpu --mem --output /home/ec2-user/stats.csv 1",,,,"Date:","17 Dec 2020 06:37:48 UTC"

"epoch","net/total",,"tcp sockets",,,,,"total cpu usage",,,,,,"memory usage",,,
"epoch","recv","send","lis","act","syn","tim","clo","usr","sys","idl","wai","hiq","siq","used","buff","cach","free"
1608187068.563,0.0,0.0,5.0,3.0,0.0,8.0,0.0,4.862,1.961,92.745,0.385,0.0,0.047,140914688.0,1085440.0,763494400.0,126013440.0
1608187069.565,14397.0,14526.0,7.0,11.0,0.0,9.0,0.0,1.010,1.010,97.980,0.0,0.0,0.0,141852672.0,1085440.0,763473920.0,125095936.0
1608187070.565,3050.0,355.0,7.0,11.0,0.0,9.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141967360.0,1085440.0,763486208.0,124968960.0
1608187071.565,412.0,575.0,7.0,12.0,0.0,9.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141967360.0,1085440.0,763486208.0,124968960.0
1608187072.565,582.0,2890.0,7.0,13.0,0.0,9.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141967360.0,1085440.0,763486208.0,124968960.0
1608187073.565,747.0,2747.0,7.0,13.0,0.0,9.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141967360.0,1085440.0,763486208.0,124968960.0
1608187074.564,1420.0,6266.0,7.0,15.0,0.0,9.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141963264.0,1085440.0,763490304.0,124968960.0
1608187075.565,2339.0,6299.0,7.0,16.0,0.0,10.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141963264.0,1085440.0,763490304.0,124968960.0
1608187076.565,208.0,182.0,7.0,16.0,0.0,10.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141963264.0,1085440.0,763490304.0,124968960.0
1608187077.565,710.0,3133.0,7.0,17.0,0.0,10.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141959168.0,1085440.0,763494400.0,124968960.0
1608187078.564,16915.0,15765.0,7.0,17.0,0.0,10.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,142082048.0,1085440.0,763498496.0,124841984.0
