"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ip-172-31-40-134.eu-west-2.compute.internal",,,,"User:","root"
"Cmdline:","dstat --integer --noupdate -T -n --tcp --cpu --mem --output /home/ec2-user/stats.csv 1",,,,"Date:","17 Dec 2020 06:37:53 UTC"

"epoch","net/total",,"tcp sockets",,,,,"total cpu usage",,,,,,"memory usage",,,
"epoch","recv","send","lis","act","syn","tim","clo","usr","sys","idl","wai","hiq","siq","used","buff","cach","free"
1608187073.666,0.0,0.0,6.0,3.0,0.0,4.0,0.0,4.765,1.603,93.138,0.435,0.0,0.059,140808192.0,1085440.0,763359232.0,126255104.0
1608187074.667,18248.0,9530.0,7.0,9.0,0.0,5.0,0.0,1.0,2.0,97.0,0.0,0.0,0.0,141426688.0,1085440.0,763506688.0,125489152.0
1608187075.667,1135.0,4009.0,7.0,10.0,0.0,5.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,141578240.0,1085440.0,763514880.0,125329408.0
1608187076.667,0.0,0.0,7.0,10.0,0.0,5.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141578240.0,1085440.0,763514880.0,125329408.0
1608187077.667,0.0,0.0,7.0,10.0,0.0,5.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141578240.0,1085440.0,763514880.0,125329408.0
1608187078.667,7687.0,2306.0,7.0,10.0,0.0,5.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141701120.0,1085440.0,763518976.0,125202432.0
1608187079.667,1083.0,4382.0,7.0,11.0,0.0,5.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141701120.0,1085440.0,763518976.0,125202432.0
1608187080.667,1216.0,4597.0,7.0,11.0,0.0,6.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141701120.0,1085440.0,763518976.0,125202432.0
1608187081.667,2005.0,8513.0,7.0,13.0,0.0,6.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141701120.0,1085440.0,763518976.0,125202432.0
1608187082.667,29687.0,5125.0,7.0,13.0,0.0,6.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141692928.0,1085440.0,763527168.0,125202432.0
1608187083.667,284.0,778.0,7.0,14.0,4.0,6.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141819904.0,1085440.0,763527168.0,125075456.0
1608187084.667,23041.0,61611.0,7.0,16.0,0.0,6.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141811712.0,1085440.0,763535360.0,125075456.0
1608187085.667,1256.0,289.0,7.0,16.0,0.0,6.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141811712.0,1085440.0,763535360.0,125075456.0
1608187086.667,42.0,42.0,7.0,16.0,0.0,6.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141807616.0,1085440.0,763539456.0,125075456.0
1608187087.667,0.0,0.0,7.0,16.0,0.0,6.0,0.0,0.990,0.0,99.010,0.0,0.0,0.0,141807616.0,1085440.0,763539456.0,125075456.0
1608187088.667,0.0,0.0,7.0,16.0,0.0,6.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141807616.0,1085440.0,763539456.0,125075456.0
1608187089.667,0.0,0.0,7.0,16.0,0.0,6.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141807616.0,1085440.0,763539456.0,125075456.0
1608187090.667,882.0,4855.0,7.0,17.0,0.0,6.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141905920.0,1085440.0,763539456.0,124977152.0
1608187091.667,76.0,90.0,7.0,17.0,0.0,6.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141905920.0,1085440.0,763539456.0,124977152.0
1608187092.667,31145.0,25423.0,7.0,17.0,0.0,6.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141897728.0,1085440.0,763547648.0,124977152.0
1608187093.667,936.0,846.0,7.0,16.0,3.0,6.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141897728.0,1085440.0,763547648.0,124977152.0
